Code,Room,CheckIn,CheckOut,Rate,LastName,FirstName,Adults,Kids
47496,'RND','01-JAN-10','06-JAN-10',150.00,'KLEVER','ERASMO',1,0
41112,'RND','06-JAN-10','11-JAN-10',135.00,'HOOLEY','EUGENIO',1,0
76809,'RND','12-JAN-10','14-JAN-10',187.50,'WISWELL','JERROD',1,0
70172,'RND','23-JAN-10','25-JAN-10',150.00,'ALMANZA','PHEBE',1,0
44358,'RND','25-JAN-10','27-JAN-10',150.00,'BOBROW','CLINTON',2,0
55344,'RND','30-JAN-10','31-JAN-10',135.00,'RENSCH','LIANA',1,0
99471,'RND','31-JAN-10','01-FEB-10',135.00,'ABRAHAMS','ANNETT',1,0
81473,'RND','01-FEB-10','02-FEB-10',127.50,'EVERITT','YUK',1,1
49253,'RND','03-FEB-10','06-FEB-10',150.00,'NANI','GARRY',1,0
16748,'RND','21-FEB-10','23-FEB-10',135.00,'KLIMKO','DONTE',1,0
69316,'RND','26-FEB-10','07-MAR-10',150.00,'SULOUFF','JESSICA',1,0
69844,'RND','07-MAR-10','11-MAR-10',172.50,'BONIOL','CLINT',1,0
96839,'RND','11-MAR-10','12-MAR-10',150.00,'ARANAS','ROD',1,0
43911,'RND','12-MAR-10','13-MAR-10',127.50,'NEIN','TEODORO',1,0
48382,'RND','13-MAR-10','14-MAR-10',150.00,'SCHLADWEILER','ELEASE',1,0
77032,'RND','14-MAR-10','17-MAR-10',172.50,'FRANC','HERBERT',1,0
30043,'RND','17-MAR-10','18-MAR-10',150.00,'HELFRITZ','RHEA',2,0
48539,'RND','21-MAR-10','28-MAR-10',135.00,'CHINAULT','EDWARDO',2,0
23850,'RND','11-APR-10','17-APR-10',150.00,'PENNELLA','LAKIA',2,0
97303,'RND','21-APR-10','30-APR-10',150.00,'WAEGNER','STANFORD',1,0
21553,'RND','01-MAY-10','05-MAY-10',172.50,'MECHLING','KERRI',1,0
28465,'RND','05-MAY-10','06-MAY-10',150.00,'SALLE','SANTANA',1,0
62147,'RND','06-MAY-10','13-MAY-10',135.00,'BURCHAM','JONATHON',1,1
38368,'RND','30-MAY-10','06-JUN-10',150.00,'FOCKE','HONEY',1,1
48822,'RND','08-JUN-10','12-JUN-10',187.50,'HULETTE','DARIUS',1,0
18822,'RND','12-JUN-10','14-JUN-10',150.00,'NORN','GARLAND',2,0
34034,'RND','14-JUN-10','20-JUN-10',172.50,'GABBETT','ALLEN',1,0
52470,'RND','20-JUN-10','21-JUN-10',127.50,'BAIRAM','BRADLY',1,1
95709,'RND','21-JUN-10','02-JUL-10',135.00,'TRUDEN','LEWIS',1,0
93984,'RND','02-JUL-10','03-JUL-10',187.50,'DEBARDELABEN','NELL',1,0
76245,'RND','18-JUL-10','19-JUL-10',150.00,'TOSTI','DAN',1,1
30300,'RND','19-JUL-10','20-JUL-10',135.00,'PRIAL','MYLES',1,0
70440,'RND','23-JUL-10','27-JUL-10',150.00,'DEVEY','GIUSEPPE',1,0
44933,'RND','27-JUL-10','29-JUL-10',150.00,'FURIA','ELWANDA',2,0
63458,'RND','31-JUL-10','01-AUG-10',172.50,'LELEUX','PORTER',1,1
78964,'RND','05-AUG-10','06-AUG-10',150.00,'SPERAZZA','WILBUR',2,0
64503,'RND','06-AUG-10','11-AUG-10',172.50,'MAURER','TEODORO',2,0
15534,'RND','28-AUG-10','01-SEP-10',150.00,'GAUD','REINALDO',1,0
87560,'RND','01-SEP-10','02-SEP-10',150.00,'SABALA','MORTON',1,0
59083,'RND','03-SEP-10','10-SEP-10',172.50,'HARTFORD','NATHANAEL',2,0
91895,'RND','10-SEP-10','11-SEP-10',150.00,'BLADE','RUBEN',1,0
65416,'RND','11-SEP-10','13-SEP-10',127.50,'STRICK','NICHOLLE',1,0
94375,'RND','13-SEP-10','19-SEP-10',150.00,'WEGER','TOBY',1,0
69494,'RND','21-SEP-10','22-SEP-10',135.00,'MINDEN','STACEY',1,0
14845,'RND','27-SEP-10','30-SEP-10',150.00,'ROTCH','FLORIDA',1,1
10449,'RND','30-SEP-10','01-OCT-10',150.00,'KLESS','NELSON',1,0
28494,'RND','01-OCT-10','13-OCT-10',135.00,'DERKAS','GUS',1,0
67343,'RND','14-OCT-10','25-OCT-10',172.50,'ALBROUGH','OLYMPIA',2,0
63293,'RND','25-OCT-10','01-NOV-10',127.50,'KUTA','HERMAN',1,1
55551,'RND','04-NOV-10','08-NOV-10',127.50,'COOKUS','KASHA',2,0
57705,'RND','12-NOV-10','15-NOV-10',172.50,'ROTHMAN','GLENNIS',1,0
48532,'RND','20-NOV-10','22-NOV-10',135.00,'VANDEBRINK','TRESSIE',1,0
32049,'RND','22-NOV-10','04-DEC-10',135.00,'PANOS','LESTER',1,1
54369,'RND','04-DEC-10','06-DEC-10',172.50,'MULE','DIONNA',1,0
24667,'RND','08-DEC-10','09-DEC-10',187.50,'BAUGUESS','ERYN',1,0
68385,'RND','10-DEC-10','12-DEC-10',172.50,'ALBERO','ABBEY',1,0
46577,'RND','12-DEC-10','14-DEC-10',135.00,'MAURER','TEODORO',1,0
41783,'RND','19-DEC-10','20-DEC-10',187.50,'LEDOUX','LENA',1,0
30020,'RND','21-DEC-10','28-DEC-10',135.00,'PORTO','MARIANO',1,1
26701,'RND','28-DEC-10','30-DEC-10',150.00,'DEJAEGER','WELDON',2,0
69598,'RND','30-DEC-10','31-DEC-10',150.00,'RENIER','MARCELLUS',1,0
97512,'RND','31-DEC-10','02-JAN-11',150.00,'FRAILEY','JUANITA',1,0
74548,'IBS','13-JAN-10','16-JAN-10',172.50,'BORROMEO','EBONY',1,1
89123,'IBS','20-JAN-10','30-JAN-10',172.50,'GISSLER','EFRAIN',1,0
77967,'IBS','30-JAN-10','06-FEB-10',172.50,'MCNEELEY','ARTHUR',1,0
62333,'IBS','06-FEB-10','07-FEB-10',150.00,'ABATIELL','CATHRYN',2,0
72456,'IBS','08-FEB-10','10-FEB-10',150.00,'STARTIN','BRUNA',1,1
15733,'IBS','11-FEB-10','13-FEB-10',172.50,'BEALLE','RASHAD',1,0
39602,'IBS','13-FEB-10','23-FEB-10',150.00,'STUART','IVA',1,1
75477,'IBS','23-FEB-10','24-FEB-10',172.50,'JAHR','JESSIE',2,0
41754,'IBS','24-FEB-10','25-FEB-10',172.50,'ANA','ELLAN',1,0
12138,'IBS','28-FEB-10','05-MAR-10',150.00,'SHARIAT','JARRED',1,0
95260,'IBS','07-MAR-10','19-MAR-10',187.50,'PERRINO','DENNY',1,0
63558,'IBS','20-MAR-10','22-MAR-10',150.00,'KEPKE','HAROLD',1,1
53535,'IBS','22-MAR-10','25-MAR-10',172.50,'ALLENDE','VIRGIL',1,1
63746,'IBS','25-MAR-10','27-MAR-10',187.50,'SCARLES','LANDON',1,1
58881,'IBS','27-MAR-10','29-MAR-10',150.00,'RONFELDT','JERMAINE',1,0
16933,'IBS','01-APR-10','03-APR-10',150.00,'NORSWORTHY','AUBREY',2,0
18900,'IBS','03-APR-10','05-APR-10',172.50,'LAURY','EMILY',2,0
58762,'IBS','05-APR-10','07-APR-10',127.50,'REDEPENNING','FAITH',1,0
50223,'IBS','12-APR-10','14-APR-10',135.00,'CALLICUTT','HONG',1,0
84715,'IBS','18-APR-10','19-APR-10',150.00,'BECKUM','MISSY',1,0
55641,'IBS','23-APR-10','25-APR-10',150.00,'ISHIBASHI','CAPRICE',1,1
99268,'IBS','30-APR-10','03-MAY-10',135.00,'LEEHY','NENA',1,0
14001,'IBS','11-MAY-10','12-MAY-10',187.50,'COSTON','LANNY',1,0
63652,'IBS','14-MAY-10','20-MAY-10',172.50,'COVERT','ADAM',1,1
28227,'IBS','30-MAY-10','04-JUN-10',172.50,'STUART','IVA',2,0
81780,'IBS','09-JUN-10','10-JUN-10',150.00,'ENTWISLE','THOMAS',1,0
44426,'IBS','22-JUN-10','23-JUN-10',150.00,'CHEESE','TRINIDAD',1,0
62816,'IBS','07-JUL-10','11-JUL-10',127.50,'MAEWEATHER','AUGUST',1,0
94074,'IBS','15-JUL-10','16-JUL-10',135.00,'TRIBBY','ADELIA',1,0
22981,'IBS','21-JUL-10','23-JUL-10',172.50,'KNERIEN','GRANT',1,0
72503,'IBS','23-JUL-10','30-JUL-10',150.00,'VELZEBOER','HAN',2,0
44428,'IBS','04-AUG-10','06-AUG-10',172.50,'ZAVADOSKI','CLAIR',1,0
26135,'IBS','09-AUG-10','14-AUG-10',150.00,'STORDAHL','NATOSHA',1,0
