Code,Room,CheckIn,CheckOut,Rate,LastName,FirstName,Adults,Kids
47496,'RND',2010-01-01,2010-01-06,150.0,'KLEVER','ERASMO',1,0
41112,'RND',2010-01-06,2010-01-11,135.0,'HOOLEY','EUGENIO',1,0
76809,'RND',2010-01-12,2010-01-14,187.5,'WISWELL','JERROD',1,0
70172,'RND',2010-01-23,2010-01-25,150.0,'ALMANZA','PHEBE',1,0
44358,'RND',2010-01-25,2010-01-27,150.0,'BOBROW','CLINTON',2,0
55344,'RND',2010-01-30,2010-01-31,135.0,'RENSCH','LIANA',1,0
99471,'RND',2010-01-31,2010-02-01,135.0,'ABRAHAMS','ANNETT',1,0
81473,'RND',2010-02-01,2010-02-02,127.5,'EVERITT','YUK',1,1
49253,'RND',2010-02-03,2010-02-06,150.0,'NANI','GARRY',1,0
16748,'RND',2010-02-21,2010-02-23,135.0,'KLIMKO','DONTE',1,0
69316,'RND',2010-02-26,2010-03-07,150.0,'SULOUFF','JESSICA',1,0
69844,'RND',2010-03-07,2010-03-11,172.5,'BONIOL','CLINT',1,0
96839,'RND',2010-03-11,2010-03-12,150.0,'ARANAS','ROD',1,0
43911,'RND',2010-03-12,2010-03-13,127.5,'NEIN','TEODORO',1,0
48382,'RND',2010-03-13,2010-03-14,150.0,'SCHLADWEILER','ELEASE',1,0
77032,'RND',2010-03-14,2010-03-17,172.5,'FRANC','HERBERT',1,0
30043,'RND',2010-03-17,2010-03-18,150.0,'HELFRITZ','RHEA',2,0
48539,'RND',2010-03-21,2010-03-28,135.0,'CHINAULT','EDWARDO',2,0
23850,'RND',2010-04-11,2010-04-17,150.0,'PENNELLA','LAKIA',2,0
97303,'RND',2010-04-21,2010-04-30,150.0,'WAEGNER','STANFORD',1,0
21553,'RND',2010-05-01,2010-05-05,172.5,'MECHLING','KERRI',1,0
28465,'RND',2010-05-05,2010-05-06,150.0,'SALLE','SANTANA',1,0
62147,'RND',2010-05-06,2010-05-13,135.0,'BURCHAM','JONATHON',1,1
38368,'RND',2010-05-30,2010-06-06,150.0,'FOCKE','HONEY',1,1
48822,'RND',2010-06-08,2010-06-12,187.5,'HULETTE','DARIUS',1,0
18822,'RND',2010-06-12,2010-06-14,150.0,'NORN','GARLAND',2,0
34034,'RND',2010-06-14,2010-06-20,172.5,'GABBETT','ALLEN',1,0
52470,'RND',2010-06-20,2010-06-21,127.5,'BAIRAM','BRADLY',1,1
95709,'RND',2010-06-21,2010-07-02,135.0,'TRUDEN','LEWIS',1,0
93984,'RND',2010-07-02,2010-07-03,187.5,'DEBARDELABEN','NELL',1,0
76245,'RND',2010-07-18,2010-07-19,150.0,'TOSTI','DAN',1,1
30300,'RND',2010-07-19,2010-07-20,135.0,'PRIAL','MYLES',1,0
70440,'RND',2010-07-23,2010-07-27,150.0,'DEVEY','GIUSEPPE',1,0
44933,'RND',2010-07-27,2010-07-29,150.0,'FURIA','ELWANDA',2,0
63458,'RND',2010-07-31,2010-08-01,172.5,'LELEUX','PORTER',1,1
78964,'RND',2010-08-05,2010-08-06,150.0,'SPERAZZA','WILBUR',2,0
64503,'RND',2010-08-06,2010-08-11,172.5,'MAURER','TEODORO',2,0
15534,'RND',2010-08-28,2010-09-01,150.0,'GAUD','REINALDO',1,0
